,model,tp,fp,tn,fn,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold,window_size
0,ExtraTrees,15,1,22003,4,0.0420068234839569,-0.7894736842105263,0.9375,0.7894736842105263,0.9999545537175059,0.8571428571428571,0.8947141189640161,0.01630420752719972,0.06521683010879888,-0.1467378677447975,0.5,1,3
1,MiniRocket,17,3,22001,2,0.08653430588538583,-1.736842105263158,0.85,0.8947368421052632,0.9998636611525177,0.8717948717948718,0.9473002516288904,0.04891262258159916,0.03260841505439944,-0.11412945269039804,0.5,1,3
2,QUANT,17,5,21999,2,0.31897085564322697,-0.9473684210526315,0.7727272727272727,0.8947368421052632,0.9997727685875295,0.8292682926829268,0.9472548053463963,0.0815210376359986,0.03260841505439944,-0.1467378677447975,0.5,1,3
3,Piping,16,8,21996,3,6.069722447011703,-2.210526315789474,0.6666666666666666,0.8421052631578947,0.9996364297400473,0.7441860465116279,0.920870846448971,0.13043366021759775,0.04891262258159916,-0.22825890538079607,0.5,1,3
4,Catch22,15,3,22001,4,0.35932054089815796,-2.789473684210526,0.8333333333333334,0.7894736842105263,0.9998636611525177,0.8108108108108109,0.8946686726815221,0.04891262258159916,0.06521683010879888,-0.17934628279919693,0.5,1,3
5,ExtraTrees,20,1,27589,6,0.03840941000855118,-0.94875,0.9523809523809523,0.7692307692307693,0.9999637549836897,0.851063829787234,0.8845972621072296,0.013001444966147488,0.07800866979688492,-0.16901878455991734,0.5,2,3
6,MiniRocket,23,5,27585,3,0.11552567731963591,-1.343125,0.8214285714285714,0.8846153846153846,0.9998187749184487,0.8518518518518519,0.9422170797669167,0.06500722483073744,0.03900433489844246,-0.14301589462762238,0.5,2,3
7,QUANT,20,3,27587,6,0.3211751278228701,-0.82375,0.8695652173913043,0.7692307692307693,0.9998912649510693,0.8163265306122449,0.8845610170909193,0.03900433489844246,0.07800866979688492,-0.1950216744922123,0.5,2,3
8,Piping,19,2,27588,7,9.40880467399993,-0.7508333333333334,0.9047619047619048,0.7307692307692307,0.9999275099673794,0.8085106382978723,0.8653483703683051,0.026002889932294975,0.09101011476303242,-0.2080231194583598,0.5,2,3
9,Catch22,19,5,27585,7,0.4591066990741502,-1.0514583333333334,0.7916666666666666,0.7307692307692307,0.9998187749184487,0.76,0.8652940028438397,0.06500722483073744,0.09101011476303242,-0.24702745435680226,0.5,2,3
10,ExtraTrees,5,2,12428,9,0.05632749768409834,-0.4166666666666667,0.7142857142857143,0.35714285714285715,0.9998390989541432,0.47619047619047616,0.6784909780485002,0.05769175296391381,0.25961288833761215,-0.576917529639138,0.5,3,3
11,MiniRocket,10,2,12428,4,0.12686489324918085,-2.1666666666666665,0.8333333333333334,0.7142857142857143,0.9998390989541432,0.7692307692307693,0.8570624066199288,0.05769175296391381,0.11538350592782762,-0.288458764819569,0.5,3,3
12,QUANT,11,2,12428,3,0.45753435414567867,-1.8333333333333333,0.8461538461538461,0.7857142857142857,0.9998390989541432,0.8148148148148148,0.8927766923342144,0.05769175296391381,0.0865376294458707,-0.23076701185565524,0.5,3,3
13,Piping,13,3,12427,1,9.255130159474684,-1.6666666666666667,0.8125,0.9285714285714286,0.9997586484312148,0.8666666666666667,0.9641650385013216,0.0865376294458707,0.028845876481956904,-0.1442293824097845,0.5,3,3
14,Catch22,11,8,12422,3,0.5547282624731674,-1.4166666666666667,0.5789473684210527,0.7857142857142857,0.9993563958165728,0.6666666666666666,0.8925353407654293,0.23076701185565524,0.0865376294458707,-0.40384227074739665,0.5,3,3
15,ExtraTrees,20,2,36874,11,0.03336779713227531,-0.6451612903225806,0.9090909090909091,0.6451612903225806,0.9999457641826662,0.7547169811320755,0.8225535272526234,0.01945929642211106,0.10702613032161082,-0.2335115570653327,0.5,4,3
16,MiniRocket,24,2,36874,7,0.06539508852969315,-0.8041935483870968,0.9230769230769231,0.7741935483870968,0.9999457641826662,0.8421052631578947,0.8870696562848814,0.01945929642211106,0.06810753747738871,-0.15567437137688847,0.5,4,3
17,QUANT,27,2,36874,4,0.2512854802548547,-0.9009677419354839,0.9310344827586207,0.8709677419354839,0.9999457641826662,0.9,0.935456753059075,0.01945929642211106,0.03891859284422212,-0.09729648211055529,0.5,4,3
18,Piping,22,3,36873,9,5.123879558786658,-0.15903225806451612,0.88,0.7096774193548387,0.9999186462739994,0.7857142857142857,0.8547980328144191,0.029188944633166587,0.08756683389949976,-0.2043226124321661,0.5,4,3
