,model,tp,fp,tn,fn,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold
0,ExtraTrees,141,17,4075,84,0.8055495308713061,-1.2393701399688957,0.8924050632911392,0.6266666666666667,0.9958455522971652,0.7362924281984334,0.811256109481916,0.5212627504957107,2.5756512377435117,-5.6725652259827335,0.5,1
1,MiniRocket,224,7,4085,1,1.446306023571878,-2.3503888024883364,0.9696969696969697,0.9955555555555555,0.9982893450635386,0.9824561403508771,0.9969224503095471,0.21463760314529262,0.030662514735041804,-0.27596263261537624,0.5,1
2,QUANT,214,4,4088,11,6.680259973684918,-1.9652099533437015,0.981651376146789,0.9511111111111111,0.9990224828934506,0.9661399548532731,0.9750667970022808,0.12265005894016721,0.33728766208545985,-0.7972253831110869,0.5,1
3,Piping,215,21,4071,10,6.820373610063299,-1.976687402799378,0.9110169491525424,0.9555555555555556,0.9948680351906158,0.9327548806941431,0.9752117953730857,0.6439128094358779,0.30662514735041807,-1.257163104136714,0.5,1
4,Catch22,213,6,4086,12,4.4848200688955915,-2.01798600311042,0.9726027397260274,0.9466666666666667,0.998533724340176,0.9594594594594594,0.9726001955034214,0.18397508841025081,0.36795017682050163,-0.9198754420512542,0.5,1
5,ExtraTrees,125,0,3646,98,0.800244569747132,-1.0369230769230768,1.0,0.5605381165919282,1.0,0.7183908045977011,0.7802690582959642,0.0,3.1821912742294822,-6.3643825484589645,0.5,2
6,MiniRocket,222,3,3643,1,1.4330372545185697,-2.2119791666666666,0.9866666666666667,0.9955156950672646,0.9991771804717499,0.9910714285714286,0.9973464377695072,0.0974140185988617,0.0324713395329539,-0.1623566976647695,0.5,2
7,QUANT,200,4,3642,23,6.624220984372264,-1.7430208333333332,0.9803921568627451,0.8968609865470852,0.9989029072956664,0.936768149882904,0.9478819469213758,0.1298853581318156,0.7468408092579397,-1.623566976647695,0.5,2
8,Piping,198,13,3633,25,6.7231639370371505,-1.7315865384615385,0.9383886255924171,0.8878923766816144,0.996434448710916,0.9124423963133641,0.9421634126962652,0.4221274139284007,0.8117834883238475,-2.0456943905760956,0.5,2
9,Catch22,206,8,3638,17,4.5185807799753155,-1.8268669871794874,0.9626168224299065,0.9237668161434978,0.997805814591333,0.9427917620137299,0.9607863153674154,0.2597707162636312,0.5520127720602163,-1.3637962603840639,0.5,2
10,ExtraTrees,129,11,4001,171,0.8926173260857906,-0.9887465940054496,0.9214285714285714,0.43,0.997258225324028,0.5863636363636363,0.713629112662014,0.30882863870909627,4.80088156538686,-9.910591769482817,0.5,3
11,MiniRocket,296,2,4010,4,1.5417823696123323,-2.5684400544959125,0.9932885906040269,0.9866666666666667,0.9995014955134596,0.9899665551839465,0.9930840810900632,0.056150661583472046,0.11230132316694409,-0.28075330791736025,0.5,3
12,QUANT,271,3,4009,29,7.280299049259877,-2.0485626702997277,0.9890510948905109,0.9033333333333333,0.9992522432701895,0.9442508710801394,0.9512927883017614,0.08422599237520807,0.8141845929603447,-1.7125951782958975,0.5,3
